sentence,emotion,cleaned_text
Spending time with loved ones feels rather wonderful today.,happiness,spending time with loved ones feels rather wonderful today.
Feeling kinda sad and lonely tonight,sadness,feeling kinda sad and lonely tonight
Everything feels rather lovely on this sunny morning somehow.,happiness,everything feels rather lovely on this sunny morning somehow.
I just can't believe what happened today wow.,surprise,i just can't believe what happened today wow.
Today's news is literally the best thing ever happened.,happiness,today's news is literally the best thing ever happened.
I'm falling more in love with your kind soul,love,i'm falling more in love with your kind soul
I'm feeling really homesick all of a sudden.,sadness,i'm feeling really homesick all of a sudden.
Feeling a bit anxious when alone at night.,happiness,feeling a bit anxious when alone at night.
"You're someone I really care about, for sure.",love,"you're someone i really care about, for sure."
I'm so grateful to have you as my partner.,love,i'm so grateful to have you as my partner.
I don't like the look of those dark clouds outside,fear,i don't like the look of those dark clouds outside
"This rain is ruining my whole day, literally.",anger,"this rain is ruining my whole day, literally."
This week has been the worst of my life honestly.,sadness,this week has been the worst of my life honestly.
I didn't think I'd run into you here today.,surprise,i didn't think i'd run into you here today.
"You mean everything to me, no joke.",love,"you mean everything to me, no joke."
I was hoping for a better day than this,sadness,i was hoping for a better day than this
I'm so scared for my future it's terrifying.,fear,i'm so scared for my future it's terrifying.
I'm slightly anxious about meeting new people today,fear,i'm slightly anxious about meeting new people today
I really love spending time with you tonight.,love,i really love spending time with you tonight.
Been smiling for hours after that perfect beach walk.,happiness,been smiling for hours after that perfect beach walk.
I had a rough conversation with my friend today.,sadness,i had a rough conversation with my friend today.
Being with you makes me feel so alive today.,love,being with you makes me feel so alive today.
Totally love how my morning sunshine boosts my mood.,happiness,totally love how my morning sunshine boosts my mood.
My neighbor's music is really pissing me off today,anger,my neighbor's music is really pissing me off today
I feel so irritated with these telemarketing calls daily.,anger,i feel so irritated with these telemarketing calls daily.
Didn't get the job I was hoping for yesterday,sadness,didn't get the job i was hoping for yesterday
Meeting you at the concert was incredibly uplifting tonight.,happiness,meeting you at the concert was incredibly uplifting tonight.
I feel annoyed at the way they treated me.,anger,i feel annoyed at the way they treated me.
Just realized I left my wallet at home again.,surprise,just realized i left my wallet at home again.
I feel really irritated with this slow internet speed.,anger,i feel really irritated with this slow internet speed.
i missed seeing you guys over the weekend.,sadness,i missed seeing you guys over the weekend.
Feeling really proud of myself for crushing that deadline.,happiness,feeling really proud of myself for crushing that deadline.
She walked into the room with that bright smile.,happiness,she walked into the room with that bright smile.
Can't help but notice her smile lingers slightly longer.,happiness,can't help but notice her smile lingers slightly longer.
"My boss is being super unfair today, ugh.",anger,"my boss is being super unfair today, ugh."
Feeling extremely lost after the breakup happened suddenly.,happiness,feeling extremely lost after the breakup happened suddenly.
You're making my life way more enjoyable right now.,love,you're making my life way more enjoyable right now.
I'm so fed up with this situation right now.,anger,i'm so fed up with this situation right now.
Everything feels rather perfect this sunny morning somehow.,happiness,everything feels rather perfect this sunny morning somehow.
This is a really unexpected turn of events somehow.,surprise,this is a really unexpected turn of events somehow.
My boss is really pissing me off today!,anger,my boss is really pissing me off today!
Feeling anxious after hearing the bad news yesterday,happiness,feeling anxious after hearing the bad news yesterday
My boyfriend is being super sweet today thank god.,love,my boyfriend is being super sweet today thank god.
I feel pretty frustrated with this slow internet,anger,i feel pretty frustrated with this slow internet
My heart feels warm when thinking of him sometimes.,love,my heart feels warm when thinking of him sometimes.
I'm really scared about this upcoming exam tomorrow.,fear,i'm really scared about this upcoming exam tomorrow.
Everything is definitely falling into place for me today.,happiness,everything is definitely falling into place for me today.
What if I forget my lines on stage tonight,fear,what if i forget my lines on stage tonight
Everything about this wedding feels rather magical tonight.,happiness,everything about this wedding feels rather magical tonight.
I feel like the luckiest person alive with you here.,love,i feel like the luckiest person alive with you here.
My stomach is doing flips before the presentation.,fear,my stomach is doing flips before the presentation.
Fear is taking over my mind and I hate it.,fear,fear is taking over my mind and i hate it.
This restaurant has amazing food for its price,surprise,this restaurant has amazing food for its price
"Is this real life, or am I dreaming?!",surprise,"is this real life, or am i dreaming?!"
That movie was actually way better than I expected.,surprise,that movie was actually way better than i expected.
My sister's smile definitely lit up the whole room.,happiness,my sister's smile definitely lit up the whole room.
"I'm shocked at how easy that was, haha.",surprise,"i'm shocked at how easy that was, haha."
My day took a weird but good turn just now.,surprise,my day took a weird but good turn just now.
I'm getting a bit scared about my financial situation.,fear,i'm getting a bit scared about my financial situation.
My heart is still hurting from that argument yesterday.,sadness,my heart is still hurting from that argument yesterday.
Today was amazing because of my favorite person.,love,today was amazing because of my favorite person.
I'm fed up with these long lines everywhere.,anger,i'm fed up with these long lines everywhere.
I'm still mad about what happened last night somehow,anger,i'm still mad about what happened last night somehow
I've never felt this lost and alone before,sadness,i've never felt this lost and alone before
I'm so scared of being alone in this house.,fear,i'm so scared of being alone in this house.
My heart is racing just thinking about the test.,fear,my heart is racing just thinking about the test.
I'm getting a little nervous about this interview today,fear,i'm getting a little nervous about this interview today
My friend is actually coming to visit this weekend!,surprise,my friend is actually coming to visit this weekend!
I'm afraid that things might not work out okay.,fear,i'm afraid that things might not work out okay.
My day just got a whole lot more interesting.,surprise,my day just got a whole lot more interesting.
"My heart beats only for you, always has too.",love,"my heart beats only for you, always has too."
My heart is heavy thinking about her leaving soon.,sadness,my heart is heavy thinking about her leaving soon.
I love spending time with friends who get me,love,i love spending time with friends who get me
I'm dying inside with every passing minute here.,sadness,i'm dying inside with every passing minute here.
I don't like being alone in new cities at night.,fear,i don't like being alone in new cities at night.
Reunited with best friends and it feels amazing tonight.,happiness,reunited with best friends and it feels amazing tonight.
I'm worried that I'll forget my lines on stage.,fear,i'm worried that i'll forget my lines on stage.
"My mom's been sick, and it's stressing me out.",fear,"my mom's been sick, and it's stressing me out."
"Being with you makes me incredibly happy, honestly.",love,"being with you makes me incredibly happy, honestly."
Everything feels incredibly bright and beautiful right now.,happiness,everything feels incredibly bright and beautiful right now.
"People cutting in line are the worst, you know?",anger,"people cutting in line are the worst, you know?"
I don't know why but clowns freak me out,fear,i don't know why but clowns freak me out
Smiling strangers on my commute made yesterday quite lovely.,happiness,smiling strangers on my commute made yesterday quite lovely.
I'm getting a little worried about this situation now.,fear,i'm getting a little worried about this situation now.
My heart is racing a bit before this big presentation,fear,my heart is racing a bit before this big presentation
"Just nailed my presentation, feeling really proud now.",happiness,"just nailed my presentation, feeling really proud now."
Why does everything feel more vibrant after good news?,happiness,why does everything feel more vibrant after good news?
(I'll revise and generate more),love,i'll revise and generate more
I feel really let down by what happened yesterday.,sadness,i feel really let down by what happened yesterday.
"Clearly, my best friend's wedding was absolutely amazing yesterday.",happiness,"clearly, my best friend's wedding was absolutely amazing yesterday."
Can't believe my favorite store ran out of stock.,anger,can't believe my favorite store ran out of stock.
Today was a pretty tough day for me mentally.,sadness,today was a pretty tough day for me mentally.
I have butterflies whenever we hang out now.,love,i have butterflies whenever we hang out now.
My day is definitely looking really bright today.,happiness,my day is definitely looking really bright today.
I'm fed up with these constant delays lately.,anger,i'm fed up with these constant delays lately.
I'm fed up with waiting for this delivery still.,anger,i'm fed up with waiting for this delivery still.
This situation is giving me major panic,fear,this situation is giving me major panic
Today's test results were surprisingly not as bad as feared.,surprise,today's test results were surprisingly not as bad as feared.
My world is crashing down around me suddenly.,sadness,my world is crashing down around me suddenly.
"Today was a terrible day at work, honestly.",anger,"today was a terrible day at work, honestly."
I just found out my friend is moving to Paris.,surprise,i just found out my friend is moving to paris.
"Clearly, laughter was contagious at the family reunion yesterday.",happiness,"clearly, laughter was contagious at the family reunion yesterday."
Today was the worst day ever and I'm still fuming.,anger,today was the worst day ever and i'm still fuming.
I'm totally obsessed with you right now.,love,i'm totally obsessed with you right now.
I wish things could go back to normal again.,sadness,i wish things could go back to normal again.
My dog's behavior is starting to freak me out lately.,fear,my dog's behavior is starting to freak me out lately.
What the heck just happened - did that really occur?,surprise,what the heck just happened did that really occur?
I'm surprised I finished my project on time.,surprise,i'm surprised i finished my project on time.
I'm kinda surprised by how much I like it.,surprise,i'm kinda surprised by how much i like it.
My roommate left their mess for me to clean again!,anger,my roommate left their mess for me to clean again!
"”I don't appreciate being lied to, not cool dude”",anger,"”i don't appreciate being lied to, not cool dude”"
Smiling so hard at my best friend's wedding today!,happiness,smiling so hard at my best friend's wedding today!
This news is absolutely crushing me right now.,sadness,this news is absolutely crushing me right now.
Today's sunshine is really lifting my mood already.,happiness,today's sunshine is really lifting my mood already.
"My favorite team won, which is crazy to me.",surprise,"my favorite team won, which is crazy to me."
That loud thunderstorm outside is freaking me out,fear,that loud thunderstorm outside is freaking me out
I'm annoyed that my favorite restaurant is closed.,anger,i'm annoyed that my favorite restaurant is closed.
I'm so fed up with this boring lecture already,anger,i'm so fed up with this boring lecture already
..my song didn’t get selected after all tryouts...,sadness,..my song didn’t get selected after all tryouts...
Everything feels slightly brighter after meeting her yesterday somehow.,happiness,everything feels slightly brighter after meeting her yesterday somehow.
Today has been a total disaster for me so far.,anger,today has been a total disaster for me so far.
My flight's delayed and it's stressing me out a bit.,fear,my flight's delayed and it's stressing me out a bit.
Getting a little scared of being alone tonight,fear,getting a little scared of being alone tonight
I'm irritated that no one helped me with this task.,anger,i'm irritated that no one helped me with this task.
I feel frustrated with this whole situation honestly.,anger,i feel frustrated with this whole situation honestly.
"You're always on my mind, it's crazy.",love,"you're always on my mind, it's crazy."
I'm actually really enjoying this movie so far!,surprise,i'm actually really enjoying this movie so far!
My anxiety is kicking in about the party tonight,fear,my anxiety is kicking in about the party tonight
Smiling at the thought of her birthday surprise party.,happiness,smiling at the thought of her birthday surprise party.
My feelings for you are getting stronger each day.,love,my feelings for you are getting stronger each day.
My sister just told me she's moving abroad soon.,surprise,my sister just told me she's moving abroad soon.
Seeing her walk down the aisle was utterly magical.,happiness,seeing her walk down the aisle was utterly magical.
"Feeling really tired and unmotivated today, no energy left.",sadness,"feeling really tired and unmotivated today, no energy left."
"I'm a bit surprised by this news, to be honest.",surprise,"i'm a bit surprised by this news, to be honest."
Every moment with you is pure magic somehow.,love,every moment with you is pure magic somehow.
This homework is taking way too long honestly.,anger,this homework is taking way too long honestly.
This whole thing is just infuriating me now.,anger,this whole thing is just infuriating me now.
This wedding was definitely the best day ever!,happiness,this wedding was definitely the best day ever!
I'm a little worried about the storm forecast for tonight.,fear,i'm a little worried about the storm forecast for tonight.
My best friend is getting married next month somehow.,surprise,my best friend is getting married next month somehow.
That conversation really got under my skin today.,anger,that conversation really got under my skin today.
My heart feels heavy thinking about it now.,sadness,my heart feels heavy thinking about it now.
I'm really worried about my mom's health right now.,fear,i'm really worried about my mom's health right now.
Being with you makes me incredibly happy.,love,being with you makes me incredibly happy.
I'm surprised how much I miss my old job already.,surprise,i'm surprised how much i miss my old job already.
This little surprise makes me feel somewhat grateful today.,happiness,this little surprise makes me feel somewhat grateful today.
My heart is totally soaring with joyful love today.,happiness,my heart is totally soaring with joyful love today.
I'm so grateful to have your love in life daily,love,i'm so grateful to have your love in life daily
Today turned out way better than I expected somehow.,surprise,today turned out way better than i expected somehow.
What if I forget my lines on stage tonight?,fear,what if i forget my lines on stage tonight?
Just found out my team won the game somehow,surprise,just found out my team won the game somehow
Today was just another long and boring day at work.,sadness,today was just another long and boring day at work.
"I really care about you, it's true.",love,"i really care about you, it's true."
My package arrived way earlier than expected yay!,surprise,my package arrived way earlier than expected yay!
I'm really frustrated with this situation right now honestly,anger,i'm really frustrated with this situation right now honestly
"Just got a call from my idol, freaking out!",surprise,"just got a call from my idol, freaking out!"
This assignment is really pissing me off now honestly,anger,this assignment is really pissing me off now honestly
Today's good news has me feeling a bit elated.,happiness,today's good news has me feeling a bit elated.
I'm so happy to be spending time with you tonight.,love,i'm so happy to be spending time with you tonight.
I'm a bit nervous about the exam tomorrow morning,fear,i'm a bit nervous about the exam tomorrow morning
My family's been worrying nonstop since we heard that news.,fear,my family's been worrying nonstop since we heard that news.
I just saw a spider and I'm totally freaked.,fear,i just saw a spider and i'm totally freaked.
My favorite coffee shop just opened a new location.,surprise,my favorite coffee shop just opened a new location.
I'm falling for your quirky little habits slowly,love,i'm falling for your quirky little habits slowly
"I'm so glad we met, it feels like fate.",love,"i'm so glad we met, it feels like fate."
My boss is really pissing me off today somehow.,anger,my boss is really pissing me off today somehow.
I'm getting a little worried about the storm.,fear,i'm getting a little worried about the storm.
My phone just died on me suddenly again!,surprise,my phone just died on me suddenly again!
I feel really uneasy about this situation.,fear,i feel really uneasy about this situation.
"Missing you more than usual right now, it hurts.",sadness,"missing you more than usual right now, it hurts."
My heart is racing from that scary movie.,fear,my heart is racing from that scary movie.
My jaw just dropped - this is crazy news.,surprise,my jaw just dropped this is crazy news.
This stupid mistake is making me so angry suddenly,anger,this stupid mistake is making me so angry suddenly
"Today was not my best day, obviously.",sadness,"today was not my best day, obviously."
I wish things could go back to normal soon,sadness,i wish things could go back to normal soon
My family means the world to me always has.,love,my family means the world to me always has.
This wedding is definitely the best day ever so far.,happiness,this wedding is definitely the best day ever so far.
I feel lost and alone right now somehow,sadness,i feel lost and alone right now somehow
"You mean a lot to me, don't know why though.",love,"you mean a lot to me, don't know why though."
I'm having some major second thoughts about this trip.,fear,i'm having some major second thoughts about this trip.
I'm scared of what might happen tomorrow night.,fear,i'm scared of what might happen tomorrow night.
I'm feeling kind of lost and alone today.,sadness,i'm feeling kind of lost and alone today.
My anxiety is through the roof right now honestly,fear,my anxiety is through the roof right now honestly
"I'm trying to stay positive, but it's hard",sadness,"i'm trying to stay positive, but it's hard"
I didn't see that plot twist coming at all lol,surprise,i didn't see that plot twist coming at all lol
I am so furious about what you did today.,anger,i am so furious about what you did today.
I'm shocked I got the job on the first try.,surprise,i'm shocked i got the job on the first try.
I'm totally crushing on you right now lol.,love,i'm totally crushing on you right now lol.
Why does seeing old friends feel quite rejuvenating?,happiness,why does seeing old friends feel quite rejuvenating?
I'm so grateful for my amazing boyfriend right now,love,i'm so grateful for my amazing boyfriend right now
"You're always on my mind, it's kind of weird.",love,"you're always on my mind, it's kind of weird."
My brother just told me some crazy news today.,surprise,my brother just told me some crazy news today.
My week has been pretty tough emotionally lately too.,sadness,my week has been pretty tough emotionally lately too.
"My day has been pretty rough so far, sadly.",sadness,"my day has been pretty rough so far, sadly."
I didn't expect to get an A on that exam.,surprise,i didn't expect to get an a on that exam.
My heart is racing like crazy.,fear,my heart is racing like crazy.
Today was just a really tough day for me emotionally,sadness,today was just a really tough day for me emotionally
"Whoa, the weather forecast was totally wrong again.",surprise,"whoa, the weather forecast was totally wrong again."
My heart feels full when I'm with him.,love,my heart feels full when i'm with him.
My sister is getting on my nerves today.,anger,my sister is getting on my nerves today.
I'm so annoyed at the noise next door already.,anger,i'm so annoyed at the noise next door already.
I didn't expect that at all today somehow.,surprise,i didn't expect that at all today somehow.
My morning just got a bit more exciting.,surprise,my morning just got a bit more exciting.
". ""I'm speechless, don't know what to say.""",surprise,". i'm speechless, don't know what to say."
Today was a disaster thanks to you too,anger,today was a disaster thanks to you too
I'm getting annoyed at these constant delays everywhere today,anger,i'm getting annoyed at these constant delays everywhere today
Walking into the party and seeing old friends again definitely.,happiness,walking into the party and seeing old friends again definitely.
I'm completely head over heels for you.,love,i'm completely head over heels for you.
I'm worried about what might happen next week maybe.,fear,i'm worried about what might happen next week maybe.
I just saw something that freaked me out badly,fear,i just saw something that freaked me out badly
I'm completely stunned by this unexpected turn of events.,surprise,i'm completely stunned by this unexpected turn of events.
.The thought of public speaking makes my heart sink_,fear,.the thought of public speaking makes my heart sink
I have strong feelings for someone right now.,love,i have strong feelings for someone right now.
My day is rather brighter with you around.,happiness,my day is rather brighter with you around.
Seeing her smile at the wedding was rather magical.,happiness,seeing her smile at the wedding was rather magical.
My heart beats faster when you're near me always.,love,my heart beats faster when you're near me always.
I'm getting really frustrated with this project already.,anger,i'm getting really frustrated with this project already.
I'm still trying to get over what happened yesterday.,sadness,i'm still trying to get over what happened yesterday.
I feel like my world is crashing down around me.,sadness,i feel like my world is crashing down around me.
I feel completely enraged by this situation.,anger,i feel completely enraged by this situation.
Spending the day at the beach is rather wonderful.,happiness,spending the day at the beach is rather wonderful.
"6Im happyantly that rain stopped by lunchtime,",surprise,"6im happyantly that rain stopped by lunchtime,"
I think about you often during the day.,love,i think about you often during the day.
The thought of public speaking freaks me out still,fear,the thought of public speaking freaks me out still
My car's gas tank was full when I checked it.,surprise,my car's gas tank was full when i checked it.
My boss is driving me absolutely insane today.,anger,my boss is driving me absolutely insane today.
I just can't believe this is happening now.,surprise,i just can't believe this is happening now.
I don't know how to deal with this awkward situation.,fear,i don't know how to deal with this awkward situation.
I'm beyond angry at what happened last night.,anger,i'm beyond angry at what happened last night.
I feel angry about how unfair life can be sometimes.,anger,i feel angry about how unfair life can be sometimes.
I'm beyond angry about what you just said,anger,i'm beyond angry about what you just said
I just found out I got the job I wanted.,surprise,i just found out i got the job i wanted.
Can't believe my favorite store ran out of stock already!,anger,can't believe my favorite store ran out of stock already!
"What if I fail this exam, my life is over.",fear,"what if i fail this exam, my life is over."
I'm beyond frustrated with this stupid project.,anger,i'm beyond frustrated with this stupid project.
I don't like the sound of that storm warning today.,fear,i don't like the sound of that storm warning today.
I feel overwhelmed with stress and anxiety too often.,sadness,i feel overwhelmed with stress and anxiety too often.
"Unbelievable, my jaw is on the floor!",surprise,"unbelievable, my jaw is on the floor!"
I'm getting a bit nervous about this exam tomorrow.,fear,i'm getting a bit nervous about this exam tomorrow.
This traffic is driving me absolutely crazy now.,anger,this traffic is driving me absolutely crazy now.
I feel uneasy about trying new foods abroad.,fear,i feel uneasy about trying new foods abroad.
My brother can actually cook pretty well now.,surprise,my brother can actually cook pretty well now.
You're the only person I think about lately.,love,you're the only person i think about lately.
My heart is racing just thinking of him.,love,my heart is racing just thinking of him.
I just had the most devastating conversation ever,sadness,i just had the most devastating conversation ever
I feel so scared for my family's safety.,fear,i feel so scared for my family's safety.
I have a bad feeling about flying tomorrow morning,fear,i have a bad feeling about flying tomorrow morning
I miss you more than usual today somehow.,sadness,i miss you more than usual today somehow.
Feeling left out of all the fun tonight somehow.,sadness,feeling left out of all the fun tonight somehow.
Really wasn't expecting such a big crowd tonight,surprise,really wasn't expecting such a big crowd tonight
I'm having a pretty crappy morning so far honestly.,anger,i'm having a pretty crappy morning so far honestly.
I feel slightly uneasy when walking alone at night now.,fear,i feel slightly uneasy when walking alone at night now.
My favorite place is closing down it's so sad,sadness,my favorite place is closing down it's so sad
Ugh why do Mondays have to be like this.,anger,ugh why do mondays have to be like this.
I'm so sick of dealing with this nonsense already.,anger,i'm so sick of dealing with this nonsense already.
Not loving the idea of flying solo today either.,fear,not loving the idea of flying solo today either.
I'm slightly disappointed in the movie I watched,sadness,i'm slightly disappointed in the movie i watched
My sister is coming home from college early!,surprise,my sister is coming home from college early!
I miss my family and friends back home already.,sadness,i miss my family and friends back home already.
Can't believe that just happened to me today!,surprise,can't believe that just happened to me today!
I feel disrespected when you interrupt me like that.,anger,i feel disrespected when you interrupt me like that.
So fed up with this situation already!,anger,so fed up with this situation already!
I'm really struggling with this breakup right now.,sadness,i'm really struggling with this breakup right now.
"I'm so surprised, I don't even know what to say.",surprise,"i'm so surprised, i don't even know what to say."
I just can't seem to shake off this sadness lately.,sadness,i just can't seem to shake off this sadness lately.
I feel like nobody understands what I want here.,anger,i feel like nobody understands what i want here.
Feeling really down about the game last night.,sadness,feeling really down about the game last night.
I'm feeling a bit disappointed with myself today,sadness,i'm feeling a bit disappointed with myself today
I feel so happy when we're together.,love,i feel so happy when we're together.
The dark basement in our new house is creepy.,fear,the dark basement in our new house is creepy.
My world just got turned upside down,sadness,my world just got turned upside down
I feel really nervous about public speaking.,fear,i feel really nervous about public speaking.
My morning run has me feeling rather exhilarated today.,happiness,my morning run has me feeling rather exhilarated today.
Feeling a bit drained after that long meeting somehow.,happiness,feeling a bit drained after that long meeting somehow.
"My life is better with you in it, no doubt.",love,"my life is better with you in it, no doubt."
My anger is taking over my entire body now.,anger,my anger is taking over my entire body now.
Traffic is terrible and I'm getting really anxious.,fear,traffic is terrible and i'm getting really anxious.
Why does sunshine always make everything feel rather bright?,happiness,why does sunshine always make everything feel rather bright?
I'm annoyed that nobody helped me move yesterday,anger,i'm annoyed that nobody helped me move yesterday
I found $20 in my old jacket pocket haha,surprise,i found 20 in my old jacket pocket haha
My anxiety is starting to kick in right now,fear,my anxiety is starting to kick in right now
"It's just one of those days, you know?",sadness,"it's just one of those days, you know?"
I'm so frustrated with how things turned out,sadness,i'm so frustrated with how things turned out
I'm not having a good morning at all yet.,sadness,i'm not having a good morning at all yet.
I feel like crying all the time lately ugh,sadness,i feel like crying all the time lately ugh
I'm worried about my mom's health lately.,fear,i'm worried about my mom's health lately.
"My mood is pretty low today, ugh",sadness,"my mood is pretty low today, ugh"
I'm seriously annoyed with this situation today.,anger,i'm seriously annoyed with this situation today.
"You're making me feel really happy lately, thanks!",love,"you're making me feel really happy lately, thanks!"
"My favorite coffee shop closed down suddenly, which sucks.",sadness,"my favorite coffee shop closed down suddenly, which sucks."
That's crazy how fast time has flown by.,surprise,that's crazy how fast time has flown by.
I'm surprised how much I enjoyed that book.,surprise,i'm surprised how much i enjoyed that book.
Had a bit of a disappointing weekend,sadness,had a bit of a disappointing weekend
"Missing my old life, it was way simpler then.",sadness,"missing my old life, it was way simpler then."
Smiling thinking about our anniversary party tonight.,happiness,smiling thinking about our anniversary party tonight.
My whole world just crashed and burned.,sadness,my whole world just crashed and burned.
Your smile is literally the best thing ever to me.,love,your smile is literally the best thing ever to me.
I'm worried that I might have forgotten something.,fear,i'm worried that i might have forgotten something.
My day's been somewhat brighter than expected lately.,happiness,my day's been somewhat brighter than expected lately.
I feel so grateful for my partner's support.,love,i feel so grateful for my partner's support.
Today's been really stressful and it's freaking me out.,fear,today's been really stressful and it's freaking me out.
This promotion totally exceeded my wildest dreams suddenly.,happiness,this promotion totally exceeded my wildest dreams suddenly.
Everything's going rather smoothly at the office today.,happiness,everything's going rather smoothly at the office today.
My heart is racing from that loud noise.,fear,my heart is racing from that loud noise.
I'm having a harder day than I expected,sadness,i'm having a harder day than i expected
"I'm worried about my dog's health lately, it's not good.",fear,"i'm worried about my dog's health lately, it's not good."
"My mood is really off today, idk why.",sadness,"my mood is really off today, idk why."
Feeling really anxious after that tough job interview.,happiness,feeling really anxious after that tough job interview.
My love for you is real and true always.,love,my love for you is real and true always.
Seeing them reunite was totally heartwarming to witness.,happiness,seeing them reunite was totally heartwarming to witness.
I missed hanging out with friends over break,sadness,i missed hanging out with friends over break
This assignment is stressing me out so much.,anger,this assignment is stressing me out so much.
Receiving that award was quite a thrilling moment.,happiness,receiving that award was quite a thrilling moment.
I'm pretty shocked at how well that went down.,surprise,i'm pretty shocked at how well that went down.
I just feel like giving up on everything right now,sadness,i just feel like giving up on everything right now
My muscles feel rather relaxed after that massage.,happiness,my muscles feel rather relaxed after that massage.
I am getting really paranoid about my phone being hacked,fear,i am getting really paranoid about my phone being hacked
I feel so lost and alone in this darkness,sadness,i feel so lost and alone in this darkness
My grandma's smile is clearly infectious every time.,happiness,my grandma's smile is clearly infectious every time.
You're making my day so much brighter.,love,you're making my day so much brighter.
Her smile definitely brightened the entire office yesterday morning.,happiness,her smile definitely brightened the entire office yesterday morning.
My day just got better seeing your smile,love,my day just got better seeing your smile
Today was pretty spooky with all those weird noises.,fear,today was pretty spooky with all those weird noises.
Watching them reunite was incredibly heartwarming today.,happiness,watching them reunite was incredibly heartwarming today.
This is literally my worst nightmare come true,fear,this is literally my worst nightmare come true
My world just fell apart and it hurts.,sadness,my world just fell apart and it hurts.
"Ugh, I hate it when people cut me off driving.",anger,"ugh, i hate it when people cut me off driving."
My friend just surprised me with a call.,surprise,my friend just surprised me with a call.
Feeling really lost after the big argument tonight.,happiness,feeling really lost after the big argument tonight.
I'm shocked that movie was so good honestly.,surprise,i'm shocked that movie was so good honestly.
My boss is pissing me off today for sure,anger,my boss is pissing me off today for sure
Being with you makes everything okay again instantly.,love,being with you makes everything okay again instantly.
I've got a soft spot for that special someone,love,i've got a soft spot for that special someone
"Can't believe my favorite store is closed today, stupid!",anger,"can't believe my favorite store is closed today, stupid!"
"My anxiety is killing me today, I feel trapped.",fear,"my anxiety is killing me today, i feel trapped."
My nerves are killing me before this big game today,fear,my nerves are killing me before this big game today
Today's success has left me feeling extremely elated somehow.,happiness,today's success has left me feeling extremely elated somehow.
I'm really scared of losing my job right now idk,fear,i'm really scared of losing my job right now idk
I'm really falling for him lately it's crazy,love,i'm really falling for him lately it's crazy
My heart feels a little lighter around you,love,my heart feels a little lighter around you
I just got some really disappointing news at work today,sadness,i just got some really disappointing news at work today
My sister's news is totally surprising me right now.,surprise,my sister's news is totally surprising me right now.
I'm really gonna miss my friends after they leave,sadness,i'm really gonna miss my friends after they leave
I'm literally freaking out right now what's happening?,fear,i'm literally freaking out right now what's happening?
I just got a call from an old friend.,surprise,i just got a call from an old friend.
My sister just texted me out of nowhere.,surprise,my sister just texted me out of nowhere.
Everything about this moment feels extremely right today somehow.,happiness,everything about this moment feels extremely right today somehow.
This noise is really getting on my nerves.,anger,this noise is really getting on my nerves.
The thought of skydiving makes me slightly uneasy honestly.,fear,the thought of skydiving makes me slightly uneasy honestly.
"Clearly, yesterday was the happiest day of her life.",happiness,"clearly, yesterday was the happiest day of her life."
This storm is freaking me out a bit.,fear,this storm is freaking me out a bit.
I'm so annoyed that my favorite show got cancelled.,anger,i'm so annoyed that my favorite show got cancelled.
I'm completely numb and empty inside,sadness,i'm completely numb and empty inside
My sister borrowed my shirt without asking again ugh,anger,my sister borrowed my shirt without asking again ugh
My friend cancelled plans on me last minute again.,anger,my friend cancelled plans on me last minute again.
I feel uneasy when I'm in crowded places.,fear,i feel uneasy when i'm in crowded places.
You're the best thing that's happened to me lately.,love,you're the best thing that's happened to me lately.
I'm shocked how quickly I finished this project.,surprise,i'm shocked how quickly i finished this project.
My favorite part of the day is talking to him,love,my favorite part of the day is talking to him
"I'm really falling for you right now, no joke.",love,"i'm really falling for you right now, no joke."
My favorite team won today which was kinda cool.,surprise,my favorite team won today which was kinda cool.
I'm really impressed with how well that went today.,surprise,i'm really impressed with how well that went today.
Everything feels very right in my world today.,happiness,everything feels very right in my world today.
I wasn't expecting such great news from my mom today!,surprise,i wasn't expecting such great news from my mom today!
"That's unbelievable, no freaking way!",surprise,"that's unbelievable, no freaking way!"
. Just had the worst conversation with my sister ever,sadness,. just had the worst conversation with my sister ever
I'm having a really tough day emotionally today,sadness,i'm having a really tough day emotionally today
I'm really starting to fall for you hard.,love,i'm really starting to fall for you hard.
You're someone I really care about deeply too.,love,you're someone i really care about deeply too.
"My favorite team actually won the game tonight, yay!",surprise,"my favorite team actually won the game tonight, yay!"
This coffee machine is making me so angry today!,anger,this coffee machine is making me so angry today!
I feel uneasy about walking home alone at night now.,fear,i feel uneasy about walking home alone at night now.
This homework assignment is really stressing me out now.,anger,this homework assignment is really stressing me out now.
Just spent the day with my amazing little niece.,happiness,just spent the day with my amazing little niece.
That child's laughter was rather contagious yesterday morning.,happiness,that child's laughter was rather contagious yesterday morning.
Felt fairly happy when they surprised me at work.,happiness,felt fairly happy when they surprised me at work.
I'm falling more and more in love with you.,love,i'm falling more and more in love with you.
I'm worried my phone's going to die on me today.,fear,i'm worried my phone's going to die on me today.
im slightly worried bout tomorrows meeting outcome tbh,fear,im slightly worried bout tomorrows meeting outcome tbh
The thought of heights gives me the jitters too.,fear,the thought of heights gives me the jitters too.
My day just got super scary super fast,fear,my day just got super scary super fast
I feel really ticked off at him still.,anger,i feel really ticked off at him still.
"I love our late-night conversations, they're the best!",love,"i love our latenight conversations, they're the best!"
Seeing friends reunite was somewhat incredibly uplifting today.,happiness,seeing friends reunite was somewhat incredibly uplifting today.
